classification,avg_pnl,avg_win_rate,drawdown_proxy,avg_trades_per_day,avg_position_size,long_short_bias
Extreme Fear,6963.207644363635,0.3683864568981062,-836.7539554805195,138.33116883116884,6729.572441436407,58.868581908594564
Extreme Greed,4990.689104328244,0.3832042726105863,-106.03117088931297,76.6793893129771,5282.2248644579,16.89745509252733
Fear,4516.560791061417,0.37059030600538173,-348.74924984881886,96.86614173228347,9180.255152565887,38.496550793663204
Greed,3713.033472627093,0.34172724058256665,-477.7750292435312,74.07610350076104,6443.98813909962,12.563667740547109
Neutral,3490.6830608471846,0.35408223740279277,-221.92060970509382,106.06702412868633,6113.31450733164,40.8130935810093
